date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:58	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
12:37:58	4089/4089	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Dec%202020%2010:21:01%20GMT	https://preview.colorlib.com/theme/bootstrap/login-form-09/	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/index.html	(from )
12:37:59	79820/79820	---M-Z	200	added ('OK')	text/css	etag:%22137cc-5b6056b01c76c-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/style.css	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/style.css	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:37:59	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5b6056a77c786-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/css/owl.carousel.min.css	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:00	178198/178198	---M-Z	200	added ('OK')	text/css	etag:%222b816-5b6056a70a369-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/css/bootstrap.min.css	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:00	5380/5380	---M-Z	200	added ('OK')	text/css	etag:%221504-5b6056a7c4bc4-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/css/style.css	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/css/style.css	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:00	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2019%20Feb%202024%2005:38:00%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:00	86926/86926	---M-Z	200	added ('OK')	application/javascript	etag:%221538e-5b6056b24ef5d-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/js/jquery-3.3.1.min.js	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/js/jquery-3.3.1.min.js	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:01	21003/21003	---M-Z	200	added ('OK')	application/javascript	etag:%22520b-5b6056b3a3c74-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/js/popper.min.js	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/js/popper.min.js	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:01	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:%22e2d8-5b6056b1d8cc0-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/js/bootstrap.min.js	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:01	261/261	---M-Z	200	added ('OK')	application/javascript	etag:%22105-5b6056b2bd4fa-gzip%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/js/main.js	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/js/main.js	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/)
12:38:02	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-5b6056ad07681%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon.eot?10si43	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon1a44.eot	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/style.css)
12:38:02	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-5b6056ae36239%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon.ttf?10si43	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/style.css)
12:38:03	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-5b6056af6f9d0%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon.svg?10si43	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon1a44.svg	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/style.css)
12:38:03	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-5b6056aecb8d5%22	https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon.woff?10si43	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/fonts/icomoon1a44.woff	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/fonts/icomoon/style.css)
12:38:03	2203/2203	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Feb%202024%2005:38:03%20GMT	https://preview.colorlib.com/theme/bootstrap/login-form-09/css/owl.video.play.png	D:/Persiapan%20Ujian%20UKK/login/preview.colorlib.com/theme/bootstrap/login-form-09/css/owl.video.play.d.delayed	(from https://preview.colorlib.com/theme/bootstrap/login-form-09/css/owl.carousel.min.css)
